BJD - 2454833, Corrected Flux
2165.414218313, 0.999472504,
2165.434650125, 0.999588314,
2165.455082036, 0.999534242,
2165.475514047, 0.999420448,
2165.495945858, 0.999537261,
2165.516377768, 0.999410899,
2165.536809778, 0.999607058,
2165.557241688, 0.999418847,
2165.577673497, 0.999487147,
2165.598105505, 0.999414091,
2165.638969221, 0.999571236,
2165.659401228, 0.999440110,
2165.679833135, 0.999501583,
2165.700264942, 0.999508094,
2165.720696948, 0.999418407,
2165.741128853, 0.999596555,
2165.761560858, 0.999406658,
2165.781992663, 0.999484412,
2165.802424567, 0.999517924,
2165.822856571, 0.999429834,
2165.843288375, 0.999542808,
2165.863720278, 0.999472115,
2165.884152180, 0.999525124,
2165.904584082, 0.999601586,
2165.925015984, 0.999440661,
2165.945447885, 0.999338489,
2165.965879786, 0.999279119,
2165.986311687, 0.999492181,
2166.006743587, 0.999275915,
2166.027175486, 0.999425366,
2166.047607385, 0.999446024,
2166.068039384, 0.999386944,
2166.088471182, 0.999450283,
2166.108903080, 0.999388131,
2166.129335078, 0.999522121,
2166.149766875, 0.999453405,
2166.170198772, 0.999341887,
2166.190630768, 0.999324904,
2166.211062564, 0.999415726,
2166.231494459, 0.999263861,
2166.251926453, 0.999280862,
2166.272358248, 0.999301698,
2166.292790242, 0.999325254,
2166.313222136, 0.999457387,
2166.333653929, 0.999358205,
2166.374517814, 0.999274311,
2166.415381598, 0.999257925,
2166.435813489, 0.999212956,
2166.456245380, 0.999258640,
2166.476677270, 0.999386895,
2166.497109160, 0.999394111,
2166.517541049, 0.999225082,
2166.537973038, 0.999291291,
2166.558404827, 0.999288135,
2166.578836715, 0.999303227,
2166.619700490, 0.999302568,
2166.640132377, 0.999294288,
2166.660564263, 0.999331890,
2166.680996149, 0.999319821,
2166.701428035, 0.999240867,
2166.721859920, 0.999310578,
2166.742291805, 0.999303507,
2166.762723689, 0.999327298,
2166.783155574, 0.999367249,
2166.803587457, 0.999154497,
2166.864883105, 0.999336312,
2166.885315087, 0.999398692,
2166.905746968, 0.999311740,
